,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.3614860381954959,0.24278484668365888,0.30936591041303085,0.2008255767752755,0.4963110571642056
1,Transformer-FNET-128,0.7330660170324829,0.32694166289170223,0.32456662018428895,0.4581662606453018,0.5946521573243876
2,Transformer-MHA-64,0.4620503852099346,0.25945141227581625,0.33939847125290795,0.25669465844996364,0.45168727633211986
3,Transformer-MHA-128,0.6083766290473129,0.4916983406579438,0.5147499568485304,0.5069805242060941,0.84035428732259
4,Transformer-FNET-64,0.6471010868443408,0.3846644277333851,0.4337059251181388,0.46221506203167195,0.7784550016536093
5,Transformer-FNET-128,0.6304263110917552,0.1485852483711599,0.2081608284926363,0.3152131555458776,0.363254107049669
6,Transformer-MHA-64,0.6978376526974903,0.2905075395646178,0.320912718875412,0.34891882634874516,0.5242647453450071
7,Transformer-MHA-128,0.7625275170205744,0.3557607041228244,0.40790888511601586,0.42362639834476357,0.6960074908364542
8,Transformer-FNET-64,0.40668653676251265,0.2462584833588551,0.3422474440732868,0.2541790854765704,0.3409112710851962
9,Transformer-FNET-128,0.7724210554967694,0.4014181361638989,0.43260140937203967,0.42912280860931634,0.7054317738874863
10,Transformer-MHA-64,0.6389402842376382,0.3549630851646054,0.4426026570048309,0.35496682457646567,0.5168295092232923
11,Transformer-MHA-128,0.7366979802138304,0.28766723356009066,0.3138743893461821,0.3683489901069152,0.5623648957568314
12,Transformer-FNET-64,0.5453355743898054,0.2571495240224619,0.2727171651218736,0.3408347339936284,0.5580893109606481
13,Transformer-FNET-128,0.29715025172190485,0.15690688581250123,0.23191755334612477,0.16508347317883604,0.35487944252578646
14,Transformer-MHA-64,0.8579140709085692,0.6118241722237433,0.5978394693991024,0.7149283924238077,0.5024199368659548
15,Transformer-MHA-128,0.72648620264549,0.31387764590879363,0.3405947166973631,0.40360344591416114,0.5988889930968179
