,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.901652248460759,0.7075522921149,0.6879249092810092,0.901652248460759,0.7406396864491321
1,Transformer-FNET-128,0.9027305521226493,0.7092248814838014,0.692245492501247,0.9027305521226493,0.7408439194684301
2,Transformer-MHA-64,0.9279771646792924,0.7082182307538784,0.6902222929598388,0.9279771646792924,0.7326006466397313
3,Transformer-MHA-128,0.8832231092109512,0.6895830093501932,0.6825427348850561,0.8832231092109512,0.6936295618478019
4,Transformer-FNET-64,0.8723201064386474,0.7167673546188257,0.6918034092876527,0.8723201064386474,0.7755215363570596
5,Transformer-FNET-128,0.9213912733669573,0.7245295118001698,0.6994519233590967,0.9213912733669573,0.7716237883346047
6,Transformer-MHA-64,0.833070020152087,0.6815968803756699,0.6692737882963202,0.833070020152087,0.716241587516739
7,Transformer-MHA-128,0.8935504971219257,0.6842847597007146,0.6769951878849252,0.8935504971219257,0.6811406025248732
8,Transformer-FNET-64,0.8883643964950956,0.8015102731597578,0.7586293576003942,0.8883643964950956,0.8950030142964367
9,Transformer-FNET-128,0.8726059654631083,0.7101701196840241,0.6842371716787673,0.8726059654631083,0.7628026813557022
10,Transformer-MHA-64,0.8164835164835166,0.6330222495620771,0.657564993822712,0.8164835164835166,0.552149020889242
11,Transformer-MHA-128,0.8991054032087465,0.6786041889332658,0.6815467652652494,0.8991054032087465,0.6692412291045786
12,Transformer-FNET-64,0.8716902145473574,0.754889680934864,0.7179879200393575,0.8716902145473574,0.8462003390288955
13,Transformer-FNET-128,0.9114226705412115,0.6816070751226939,0.6812172932098081,0.9114226705412115,0.661758302023872
14,Transformer-MHA-64,0.9200852845229744,0.7136869596886811,0.6964374063573681,0.9200852845229744,0.7513090298111865
15,Transformer-MHA-128,0.8838997628511306,0.6927715533842203,0.6787988279494508,0.8838997628511306,0.71300729053506
16,Transformer-FNET-64,0.913517763897703,0.686826997888725,0.6824725821955089,0.913517763897703,0.6790567852647033
17,Transformer-FNET-128,0.9154313771335048,0.7411378316515608,0.7088988493762249,0.9154313771335048,0.8069658888700756
18,Transformer-MHA-64,0.8238487702773417,0.5758658100266031,0.6543568741792606,0.8238487702773417,0.4454177722597091
19,Transformer-MHA-128,0.8999084249084249,0.6769405153698146,0.6747176552722677,0.8999084249084249,0.6563544204973033
20,Transformer-FNET-64,0.9290554683411827,0.7071180784330341,0.6856905049296026,0.9290554683411827,0.7310110764251969
21,Transformer-FNET-128,0.9270614137635415,0.7409089039673975,0.7103640548937012,0.9270614137635415,0.8006700045524764
22,Transformer-MHA-64,0.8717411514523977,0.7662691704031265,0.7340782686996786,0.8717411514523977,0.8638343493749826
23,Transformer-MHA-128,0.8359759288330717,0.6630090368743679,0.6610724427364668,0.8359759288330717,0.6490213415816752
24,Transformer-FNET-64,0.9141175946647072,0.8297141566395303,0.784453736236002,0.9141175946647072,0.9130826087165236
25,Transformer-FNET-128,0.9001141209347896,0.7366186107470512,0.7075671358690226,0.9001141209347896,0.8029909044261264
26,Transformer-MHA-64,0.864384804658361,0.6929277039263413,0.6768232149041099,0.864384804658361,0.7246251133701641
27,Transformer-MHA-128,0.8271847200418629,0.5920590868014373,0.6587410784825721,0.8271847200418629,0.4646515972501441
28,Transformer-FNET-64,0.888541979803378,0.7321303492031559,0.7028963583319082,0.888541979803378,0.8020763980590788
29,Transformer-FNET-128,0.8796873086386764,0.7575198666893156,0.7239891543088811,0.8796873086386764,0.8487420159190847
30,Transformer-MHA-64,0.7997514390371533,0.6257833409254662,0.6517439979292047,0.7997514390371533,0.5418547739229758
31,Transformer-MHA-128,0.8305206698063841,0.6070826225108398,0.661841427537331,0.8305206698063841,0.4861103045308656
32,Transformer-FNET-64,0.8903734816348798,0.6831863002127118,0.6786809228659897,0.8903734816348798,0.6753875211913686
33,Transformer-FNET-128,0.8964884153334002,0.7171970726888742,0.6947390366382046,0.8964884153334002,0.7641354287698119
34,Transformer-MHA-64,0.8786237571951858,0.6945610221995757,0.6735089869281046,0.8786237571951858,0.7287570921344739
35,Transformer-MHA-128,0.7831109366823652,0.5807110421735971,0.6497644119786232,0.7831109366823652,0.4522514665819968
