,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.9934754277618588,0.9471596785775205,0.9213927196779486,0.9934754277618588,0.9966089517418458
1,Transformer-FNET-128,0.9955948039215775,0.9822111771484854,0.9700982676725659,0.9955948039215775,0.9989639406476004
2,Transformer-MHA-64,0.9965596358867125,0.9223124247990361,0.8990740740740741,0.9965596358867125,0.9940610750686095
3,Transformer-MHA-128,0.9682487148558994,0.7050367899786141,0.6764505141665835,0.9682487148558994,0.9081108659596786
4,Transformer-FNET-64,0.9999017086860257,0.8927668595559842,0.8859948428101969,0.8999115378174232,0.9992538024271862
5,Transformer-FNET-128,0.9993492304252898,0.9368039317468563,0.9076559914277063,0.9993492304252898,0.9950026288209937
6,Transformer-MHA-64,0.8958714252231957,0.6274924927227289,0.6188369741482729,0.8062842827008762,0.880543945249637
7,Transformer-MHA-128,0.9043935344924855,0.5667799217026929,0.5657132036696984,0.8139541810432369,0.6409359111642691
8,Transformer-FNET-64,0.980422812736746,0.9410649659888184,0.9201921107407612,0.980422812736746,0.9952428580800021
9,Transformer-FNET-128,0.9963070354266207,0.9908004381152169,0.9855419774157327,0.9963070354266207,0.9991294396894388
10,Transformer-MHA-64,0.9508887986790866,0.8729078063706315,0.8546127636592011,0.9508887986790866,0.7265698225373879
11,Transformer-MHA-128,0.8134408950706403,0.5293422754200637,0.5562256437838964,0.7320968055635764,0.4902659523919128
12,Transformer-FNET-64,0.9819563457066995,0.9680225195182258,0.9562420616657169,0.9819563457066995,0.9925528285326736
13,Transformer-FNET-128,0.9990752509889611,0.9919357003745444,0.9855781037215636,0.9990752509889611,0.9992127317355897
14,Transformer-MHA-64,0.9989293402453698,0.9612513944024224,0.9361582863327157,0.9989293402453698,0.9982607702130013
15,Transformer-MHA-128,0.9873492986968055,0.8277660051498127,0.7568817688910384,0.9873492986968055,0.9767013886553619
16,Transformer-FNET-64,0.9908216449283943,0.8796329880285079,0.8705580027260493,0.891739480435555,0.9970998883478414
17,Transformer-FNET-128,0.9961656616363262,0.9690090458869454,0.9506258947604681,0.9961656616363262,0.9978872118460386
18,Transformer-MHA-64,0.9636076379462004,0.8457929392822428,0.7936650122991808,0.9636076379462004,0.9139141689582965
19,Transformer-MHA-128,0.9893701093648891,0.8916729750776157,0.8466818194146692,0.9893701093648891,0.9909023949774264
20,Transformer-FNET-64,0.9999179024472531,0.9908878803917699,0.9825924343164867,0.9999179024472531,0.9992954775389258
21,Transformer-FNET-128,0.9736443405309385,0.9671023254142219,0.9609842006115882,0.9736443405309385,0.9982173485316281
22,Transformer-MHA-64,0.999469053086617,0.9967374103889066,0.9940777388228474,0.999469053086617,0.9966864025867135
23,Transformer-MHA-128,0.9324747622445485,0.8113652754343751,0.8193461060423003,0.9324747622445485,0.6993773815443031
24,Transformer-FNET-64,0.9712796636386637,0.9697407263704731,0.9737310608112257,0.9712796636386637,0.9992537929128769
25,Transformer-FNET-128,0.9798064509724741,0.9196275698056581,0.8832725127672015,0.9798064509724741,0.9960703937016936
26,Transformer-MHA-64,0.9751094340753821,0.7508301839012557,0.7156801092084847,0.8775984906678438,0.9781034014982696
27,Transformer-MHA-128,0.9706659055025134,0.74959913299286,0.6968637122837691,0.8735993149522621,0.9788406828428404
28,Transformer-FNET-64,0.9981047984583977,0.9545433817712801,0.9229059402521003,0.9981047984583977,0.9975159169960885
29,Transformer-FNET-128,0.9999109085140314,0.9907226112537049,0.9823022774686075,0.9999109085140314,0.9992539754219756
30,Transformer-MHA-64,0.9997033176440541,0.9625639660412362,0.9376369352316166,0.9997033176440541,0.9974763308612
31,Transformer-MHA-128,0.9672525070394412,0.7839936817003521,0.765930164736678,0.9672525070394412,0.8802461061882154
