,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.9618159137126322,0.5656918611708462,0.5347887323943661,0.6732711395988427,0.9579394157880152
1,Transformer-FNET-128,0.9601806046668176,0.7698584969092528,0.7449526916273106,0.8401580290834655,0.9498307452012403
2,Transformer-MHA-64,0.9940855323020928,0.8303458892577091,0.8118115656963021,0.8698248407643312,0.9655602584317888
3,Transformer-MHA-128,0.820781086629067,0.545979399055372,0.5463259036901689,0.6383852896003854,0.8754463063212813
4,Transformer-FNET-64,0.9640520758546639,0.5786735810256725,0.5237977786051129,0.6748364530982648,0.9713323487158433
5,Transformer-FNET-128,0.974537090360883,0.6250158017291618,0.5984492753623188,0.6821759632526181,0.9423193495544734
6,Transformer-MHA-64,0.7392052006107074,0.40956215000616536,0.43169585841999636,0.5749373782527724,0.7030117693936432
7,Transformer-MHA-128,0.7239138412493649,0.3092195283737342,0.3217067583046964,0.563044098749506,0.5882856767894267
8,Transformer-FNET-64,0.9842983936298053,0.5370709676989439,0.4974446062112891,0.6890088755408638,0.8992753267133939
9,Transformer-FNET-128,0.9754112548295407,0.6130922892725136,0.6018724116662261,0.7586531982007538,0.9479515618898036
10,Transformer-MHA-64,0.9505639956538933,0.6331983202723745,0.6099206349206349,0.7393275521752503,0.7255761862809877
11,Transformer-MHA-128,0.6631357748829328,0.3386327535369758,0.399251061526768,0.5157722693533923,0.41769627365717193
12,Transformer-FNET-64,0.9893156609576025,0.4641225351613202,0.41281748496764503,0.6925209626703217,0.9360117222217716
13,Transformer-FNET-128,0.9494366762265658,0.5645716223252885,0.560313096173269,0.664605673358596,0.9759475240098023
14,Transformer-MHA-64,0.9923873544418977,0.5621643141512849,0.5390468607825296,0.6946711481093284,0.9535871748828427
15,Transformer-MHA-128,0.8162820470981803,0.5074176629131006,0.4800705467372135,0.634886036631918,0.937817954383489
16,Transformer-FNET-64,0.9397798343718685,0.5706647180232086,0.5637304724261246,0.657845884060308,0.9075897786463103
17,Transformer-FNET-128,0.9987867758568395,0.7771284254272158,0.7774272695408342,0.776834158999764,0.9927669817795596
18,Transformer-MHA-64,0.8548738208497945,0.482686157256451,0.46826921610783284,0.6649018606609511,0.846025621862271
19,Transformer-MHA-128,0.9807219899435492,0.6543532647252854,0.6392914653784219,0.7627837699560938,0.9768718154095081
20,Transformer-FNET-64,0.9955749473053755,0.7101313275270519,0.6755613987109954,0.7743360701264032,0.9702247482566494
21,Transformer-FNET-128,0.9781381296639703,0.6242022605499067,0.5880153738644304,0.7607741008497546,0.963597569919591
22,Transformer-MHA-64,0.9230375331620999,0.7459242039305596,0.7259813384813385,0.8076578415168374,0.9658698567336131
23,Transformer-MHA-128,0.9365761643688355,0.5627179930295616,0.5582877959927139,0.7284481278424276,0.712340165837482
24,Transformer-FNET-64,0.9590832799028396,0.5673898476492051,0.5293337390041849,0.6713582959319877,0.9429539110858911
25,Transformer-FNET-128,0.9776918090733299,0.6079106569069133,0.5995495596563778,0.6843842663513308,0.9579530470055343
26,Transformer-MHA-64,0.9523361603503505,0.6149902385196503,0.625,0.606032102041132,0.9086321647320077
27,Transformer-MHA-128,0.8758730446678927,0.5191546719586043,0.5226631892073068,0.6812345902972499,0.8794487042748278
28,Transformer-FNET-64,0.9491218522400494,0.6237406198708594,0.5976325344952795,0.7382058850755939,0.9774796245154744
29,Transformer-FNET-128,0.9954890425895425,0.8588962467343357,0.7924652469683525,0.9954890425895425,0.9730300370390199
30,Transformer-MHA-64,0.9322645314945566,0.5798857425894746,0.5665873645255088,0.6525851720461896,0.9706876692722458
31,Transformer-MHA-128,0.8275672392367949,0.49269748770810157,0.5277777777777778,0.643663408295285,0.7735899246876387
32,Transformer-FNET-64,0.8606600713601036,0.6421949828282786,0.6111930727347119,0.7530775624400906,0.9640087730381377
33,Transformer-FNET-128,0.9776502964592539,0.6120180409689747,0.5579021873766453,0.7603946750238642,0.9595378613913651
34,Transformer-MHA-64,0.8976314934046934,0.48089525702206715,0.479342632675966,0.6981578282036504,0.7679877400948801
35,Transformer-MHA-128,0.6492722414827953,0.4612434929403886,0.5523415977961432,0.5049895211532853,0.9203796578678013
