,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.15754560530679934,0.20833333333333334,0.3074433656957929,0.15754560530679934,-0.09354811272684414
1,Transformer-FNET-128,0.4067164179104477,0.4051155115511551,0.40353037766830874,0.4067164179104477,0.1929546776889145
2,Transformer-MHA-64,0.6616915422885572,0.7267326732673266,0.8489326765188835,0.6616915422885572,0.5424131551189448
3,Transformer-MHA-128,0.8617330016583749,0.8161608892087481,0.7897697540554685,0.8617330016583749,0.5499011125518588
4,Transformer-FNET-64,0.4400912106135986,0.4235211143436481,0.4123980926011383,0.4400912106135986,0.21699516784371797
5,Transformer-FNET-128,0.3237976782752902,0.35640301318267414,0.39923747276688454,0.3237976782752902,0.01153497713655163
6,Transformer-MHA-64,0.7271973466003318,0.4371518565066952,0.4704527712724434,0.7271973466003318,0.19802152387786526
7,Transformer-MHA-128,0.8600746268656717,0.7486291486291486,0.6786324786324786,0.8600746268656717,0.5304665242008884
8,Transformer-FNET-64,0.3667081260364842,0.3856475199758782,0.43615257048092865,0.3667081260364842,0.27803817023962923
9,Transformer-FNET-128,0.27881426202321724,0.3145105445388731,0.3612155388471178,0.27881426202321724,-0.037716967059234364
10,Transformer-MHA-64,0.6625207296849088,0.28109744560075683,0.35882660846729836,0.6625207296849088,0.0983692041621282
11,Transformer-MHA-128,0.72242951907131,0.3637710697366972,0.41231684981684974,0.72242951907131,0.16149094370167286
12,Transformer-FNET-64,0.3667081260364842,0.3694581280788178,0.37425474254742547,0.3667081260364842,0.09945517277197127
13,Transformer-FNET-128,0.3700248756218905,0.3790849673202614,0.40217391304347827,0.3700248756218905,0.13511487375377745
14,Transformer-MHA-64,0.8333333333333334,0.8856048166392995,0.9934959349593496,0.8333333333333334,0.7690724345366926
15,Transformer-MHA-128,0.7141376451077943,0.39111613024656505,0.4504425653958364,0.7141376451077943,0.16188273581762302
16,Transformer-FNET-64,0.375,0.4001081373344147,0.6523809523809524,0.375,0.30968630587702783
17,Transformer-FNET-128,0.3453565505804312,0.3121690401521772,0.33208389112003567,0.3453565505804312,0.004369873850684603
18,Transformer-MHA-64,0.6708126036484247,0.29231309231309227,0.35861815399444513,0.6708126036484247,0.08447335695871164
19,Transformer-MHA-128,0.7207711442786069,0.5955491049830672,0.6746644603787461,0.7207711442786069,0.12186710443078962
20,Transformer-FNET-64,0.5733830845771144,0.6281362007168458,0.7384488448844885,0.5733830845771144,0.2885511941925651
21,Transformer-FNET-128,0.28067993366500826,0.2690808030529285,0.3285961206068754,0.28067993366500826,-0.04084896971530437
22,Transformer-MHA-64,0.7288557213930348,0.6371104632329122,0.6771774928176022,0.7288557213930348,0.14512522718673426
23,Transformer-MHA-128,0.7406716417910447,0.432514911915661,0.4410174789578584,0.7406716417910447,0.1469616619380417
24,Transformer-FNET-64,0.5205223880597015,0.3834240774349667,0.41630591630591623,0.5205223880597015,0.0896902564548382
25,Transformer-FNET-128,0.3318822553897181,0.34006734006734,0.3503623188405797,0.3318822553897181,0.005888935945382746
26,Transformer-MHA-64,0.7354892205638475,0.39723219551365174,0.397025016903313,0.7354892205638475,0.17974670818898938
27,Transformer-MHA-128,0.7653399668325042,0.4295409995807698,0.41095204430305166,0.7653399668325042,0.2236718603323345
28,Transformer-FNET-64,0.3733416252072968,0.39186991869918697,0.4856459330143541,0.3733416252072968,0.2097246351811572
29,Transformer-FNET-128,0.6252072968490879,0.4792522318011434,0.46288121106382224,0.6252072968490879,0.24911009290158623
30,Transformer-MHA-64,0.7091625207296849,0.2971450016484634,0.3653217697335345,0.7091625207296849,0.1194221896713228
31,Transformer-MHA-128,0.5441542288557214,0.41865079365079366,0.5065018315018315,0.5441542288557214,0.0883619858846777
32,Transformer-FNET-64,0.36339137645107794,0.3617986798679868,0.36022167487684725,0.36339137645107794,0.07663057199645462
33,Transformer-FNET-128,0.4100331674958541,0.41871921182266014,0.4314363143631436,0.4100331674958541,0.23311785719799638
34,Transformer-MHA-64,0.7274046434494196,0.3914359713217386,0.4371376811594203,0.7274046434494196,0.17073554953953113
35,Transformer-MHA-128,0.7937396351575456,0.4192783410980177,0.4063722781815348,0.7937396351575456,0.23827858115838127
36,Transformer-FNET-64,0.32669983416252074,0.32189542483660133,0.3172302737520129,0.32669983416252074,-0.027795059743634217
37,Transformer-FNET-128,0.4067164179104477,0.4051155115511551,0.40353037766830874,0.4067164179104477,0.1929546776889145
38,Transformer-MHA-64,0.6741293532338308,0.31244736017162,0.37350134148086706,0.6741293532338308,0.10799591571981507
39,Transformer-MHA-128,0.4502487562189055,0.3650793650793651,0.3612495845795945,0.4502487562189055,0.15407652092748494
