,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.6318405005147699,0.32327632881336654,0.4275699362166358,0.6318405005147699,0.21299143657164674
1,Transformer-FNET-128,0.5561475409836065,0.48482991362897226,0.44773228669642395,0.5561475409836065,0.4079273619099891
2,Transformer-MHA-64,0.8016254850716718,0.8593481192169992,0.9420989859815383,0.8016254850716718,0.7994276449697314
3,Transformer-MHA-128,0.7815296586679338,0.7483860235877845,0.7884996414339683,0.7815296586679338,0.6388307701623883
4,Transformer-FNET-64,0.7341391462738577,0.524245934149136,0.49966151160859723,0.7341391462738577,0.36594414724625274
5,Transformer-FNET-128,0.7484160925001979,0.5178859916621271,0.5014305650274052,0.7484160925001979,0.3620397294814298
6,Transformer-MHA-64,0.8560208283836225,0.775798978330624,0.7476932992196638,0.8560208283836225,0.7009945646208801
7,Transformer-MHA-128,0.7595470024550566,0.7934180664039999,0.8605605605605605,0.7595470024550566,0.7060709513347871
8,Transformer-FNET-64,0.6236754573532906,0.5579820367955962,0.5347893543382266,0.6236754573532906,0.3821539545760725
9,Transformer-FNET-128,0.760392413083076,0.5255887152438876,0.5028567386038177,0.760392413083076,0.37648735413394874
10,Transformer-MHA-64,0.5937257464164093,0.23846166129217963,0.3783231659879494,0.5937257464164093,0.1434840053946342
11,Transformer-MHA-128,0.7414251207729469,0.5436914890346908,0.5256984470274052,0.7414251207729469,0.3947078926772217
12,Transformer-FNET-64,0.8687712837570286,0.8521546204473034,0.836823642900991,0.8687712837570286,0.7741936870491403
13,Transformer-FNET-128,0.8105844618674269,0.8137788487911916,0.8397475687978481,0.8105844618674269,0.6882189488914747
14,Transformer-MHA-64,0.5887582165201551,0.6599826794885313,0.8645673323092677,0.5887582165201551,0.5412099222600534
15,Transformer-MHA-128,0.8200344499881207,0.7994745184895664,0.8068224550094011,0.8200344499881207,0.7184374967354303
16,Transformer-FNET-64,0.7039459095588817,0.7448044924096325,0.815363161642535,0.7039459095588817,0.6460709062910374
17,Transformer-FNET-128,0.49504830917874393,0.38674748436944806,0.7120178321810421,0.49504830917874393,0.27739303511956753
18,Transformer-MHA-64,0.7657202819355349,0.5989043212256987,0.5717256437452304,0.7657202819355349,0.40060487417621243
19,Transformer-MHA-128,0.829551754177556,0.7986648573612216,0.7941562313655336,0.829551754177556,0.6530289288933188
20,Transformer-FNET-64,0.5452185792349726,0.44916576396127567,0.4224321822426145,0.5452185792349726,0.4319102744524847
21,Transformer-FNET-128,0.36382157282014727,0.2041448570505308,0.3464726648879253,0.36382157282014727,0.05224567398046294
22,Transformer-MHA-64,0.6253464797655817,0.5484266221108326,0.6083333333333334,0.6253464797655817,0.3428819323594334
23,Transformer-MHA-128,0.5562445553179695,0.32468520022843994,0.40619063717441,0.5562445553179695,0.18220876691383367
