,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.974913375219313,0.979302889787092,0.9841284976248689,0.974913375219313,0.9745276732839669
1,Transformer-FNET-128,0.9732448957126018,0.9755751257465897,0.9781389320313049,0.9732448957126018,0.9698520571947399
2,Transformer-MHA-64,0.9454794061509869,0.9233625000576141,0.9076610264029578,0.9454794061509869,0.8943581294141572
3,Transformer-MHA-128,0.9137320229791733,0.9355514551533263,0.9619680461843735,0.9137320229791733,0.9028615851369838
4,Transformer-FNET-64,0.9656256554746904,0.9397735206398963,0.9186989942796333,0.9656256554746904,0.9232634246407443
5,Transformer-FNET-128,0.9781749745702033,0.9634779984328774,0.9501429975129767,0.9781749745702033,0.9541508700662404
6,Transformer-MHA-64,0.9644740523528256,0.966303382000648,0.9681505539381846,0.9644740523528256,0.957481491707451
7,Transformer-MHA-128,0.9671959933437084,0.9469845702668791,0.9295597085133874,0.9671959933437084,0.9331883532287926
8,Transformer-FNET-64,0.9708532231012322,0.9770870855969966,0.9840018693381095,0.9708532231012322,0.9720674260245854
9,Transformer-FNET-128,0.9543020821592355,0.8910530208635675,0.8568894108260116,0.9543020821592355,0.8564273981280598
10,Transformer-MHA-64,0.969923678017767,0.9731872736778936,0.9767322631910625,0.969923678017767,0.9670936485928979
11,Transformer-MHA-128,0.9605819647836,0.9415877798132047,0.9272070222882798,0.9605819647836,0.9336780710840169
