,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.89859282210173,0.7207525998225034,0.6946139067773602,0.89859282210173,0.8162294945235423
1,Transformer-FNET-128,0.940829675531457,0.8531261811678824,0.807218152356616,0.940829675531457,0.9504603659645726
2,Transformer-MHA-64,0.8375796109820123,0.7019350809482447,0.6896699231510106,0.8375796109820123,0.7930667679791559
3,Transformer-MHA-128,0.9104521688613478,0.8277527772421963,0.7867434073037257,0.9104521688613478,0.9378937438626705
4,Transformer-FNET-64,0.8797443841982959,0.6800178929167009,0.6780911034088456,0.8797443841982959,0.7056465922844484
5,Transformer-FNET-128,0.9458860487133144,0.7089510525273496,0.691869918699187,0.9458860487133144,0.7695816566293807
6,Transformer-MHA-64,0.9649926843962474,0.8076085416291742,0.7590426683993936,0.9649926843962474,0.9160074635508216
7,Transformer-MHA-128,0.9183664687150358,0.7040780619371851,0.6891176251212053,0.9183664687150358,0.768485071913672
8,Transformer-FNET-64,0.9133100955331784,0.8444696865375674,0.8048877498530276,0.9133100955331784,0.9499307125000185
9,Transformer-FNET-128,0.9252302263533867,0.6735772929144767,0.6778348309798887,0.9252302263533867,0.6693296196592954
10,Transformer-MHA-64,0.9374731043979688,0.8017631242028678,0.7555062879682778,0.9374731043979688,0.9149618598919229
11,Transformer-MHA-128,0.9135768999053275,0.7280320685343664,0.7083644894881758,0.9135768999053275,0.828563956028246
12,Transformer-FNET-64,0.9058223599277047,0.7574636416759928,0.7198625367919719,0.9058223599277047,0.8746479811643574
13,Transformer-FNET-128,0.8970436354247354,0.7160144014069608,0.6945741560948888,0.8970436354247354,0.80548512976451
14,Transformer-MHA-64,0.9369567088389706,0.7975249024365878,0.7508652560793224,0.9369567088389706,0.9097586121454235
15,Transformer-MHA-128,0.8846931749720285,0.633562105050492,0.6710680958089462,0.8846931749720285,0.5499744487652782
