,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.89859282210173,0.7207525998225034,0.6946139067773602,0.89859282210173,0.8162294945235423
1,Transformer-FNET-128,0.940829675531457,0.8531261811678824,0.807218152356616,0.940829675531457,0.9504603659645726
2,Transformer-MHA-64,0.8375796109820123,0.7019350809482447,0.6896699231510106,0.8375796109820123,0.7930667679791559
3,Transformer-MHA-128,0.9104521688613478,0.8277527772421963,0.7867434073037257,0.9104521688613478,0.9378937438626705
4,Transformer-FNET-64,0.8797443841982959,0.6800178929167009,0.6780911034088456,0.8797443841982959,0.7056465922844484
5,Transformer-FNET-128,0.9458860487133144,0.7089510525273496,0.691869918699187,0.9458860487133144,0.7695816566293807
6,Transformer-MHA-64,0.9649926843962474,0.8076085416291742,0.7590426683993936,0.9649926843962474,0.9160074635508216
7,Transformer-MHA-128,0.9183664687150358,0.7040780619371851,0.6891176251212053,0.9183664687150358,0.768485071913672
8,Transformer-FNET-64,0.9133100955331784,0.8444696865375674,0.8048877498530276,0.9133100955331784,0.9499307125000185
9,Transformer-FNET-128,0.9252302263533867,0.6735772929144767,0.6778348309798887,0.9252302263533867,0.6693296196592954
10,Transformer-MHA-64,0.9374731043979688,0.8017631242028678,0.7555062879682778,0.9374731043979688,0.9149618598919229
11,Transformer-MHA-128,0.9135768999053275,0.7280320685343664,0.7083644894881758,0.9135768999053275,0.828563956028246
12,Transformer-FNET-64,0.9058223599277047,0.7574636416759928,0.7198625367919719,0.9058223599277047,0.8746479811643574
13,Transformer-FNET-128,0.8970436354247354,0.7160144014069608,0.6945741560948888,0.8970436354247354,0.80548512976451
14,Transformer-MHA-64,0.9369567088389706,0.7975249024365878,0.7508652560793224,0.9369567088389706,0.9097586121454235
15,Transformer-MHA-128,0.8846931749720285,0.633562105050492,0.6710680958089462,0.8846931749720285,0.5499744487652782
16,Transformer-FNET-64,0.926886995438506,0.7300346635949876,0.702708698655614,0.926886995438506,0.8240419809968416
17,Transformer-FNET-128,0.9294689732334969,0.7412519980266662,0.7107666235894055,0.9294689732334969,0.8439061270325524
18,Transformer-MHA-64,0.8332257509252088,0.682313090184813,0.6733435783300655,0.8332257509252088,0.7494298052338066
19,Transformer-MHA-128,0.8884155262931405,0.6600959165902089,0.6733514001806684,0.8884155262931405,0.6337729917223076
20,Transformer-FNET-64,0.8998838109992254,0.7248680718669278,0.6959012063396682,0.8998838109992254,0.8265364751027697
21,Transformer-FNET-128,0.9219812376280231,0.7141238506324875,0.6953427914668682,0.9219812376280231,0.7901951825694716
22,Transformer-MHA-64,0.9407220931233325,0.6983215774048667,0.6885215192244649,0.9407220931233325,0.7407099538031394
23,Transformer-MHA-128,0.9210990618814011,0.6693716680109346,0.6782450628809658,0.9210990618814011,0.6537722552008621
24,Transformer-FNET-64,0.9032403821327136,0.7409687289486532,0.7108419537867894,0.9032403821327136,0.8527509579166365
25,Transformer-FNET-128,0.936849126430846,0.6920402933045299,0.6874947509868145,0.936849126430846,0.7211261673938674
26,Transformer-MHA-64,0.9080385575350719,0.6847049038912276,0.6809079500190975,0.9080385575350719,0.7131257887295378
27,Transformer-MHA-128,0.9089734486616748,0.6735293511108291,0.6815873015873016,0.9089734486616748,0.695210003233657
28,Transformer-FNET-64,0.909695326620191,0.7962861091552607,0.750866074500315,0.909695326620191,0.9112096306231792
29,Transformer-FNET-128,0.9130518977536793,0.8389916345492688,0.7983938361403395,0.9130518977536793,0.9470286129369714
30,Transformer-MHA-64,0.6936483346243222,0.5763869888885367,0.6525916579649611,0.6936483346243222,0.4514787395730598
31,Transformer-MHA-128,0.9364403132799725,0.7886216731793944,0.7456204331920254,0.9364403132799725,0.9048990509648984
32,Transformer-FNET-64,0.9133100955331784,0.8444696865375674,0.8048877498530276,0.9133100955331784,0.9499307125000185
33,Transformer-FNET-128,0.9050477665892074,0.7516191272700835,0.7168259267434304,0.9050477665892074,0.8679416112579955
34,Transformer-MHA-64,0.9590541354677683,0.7587058305245661,0.7216428084526244,0.9590541354677683,0.8621819262042982
35,Transformer-MHA-128,0.9052349599793441,0.8252296135449985,0.7869268306340312,0.9052349599793441,0.9403314836134032
