Isolate_Id,Isolate_Name,Subtype,Lineage,Clade,Host,Passage_History,Location,Collection_Date,Submission_Date,H_Subtype,N_Subtype,Collection_Year,4_HA_ID,New_Host,Prediction
EPI_ISL_19604230,A/peregrine falcon/Michigan/23-003553-001/2023,H5N1,,2.3.4.4b,Falcon,Original,North America / United States / Michigan,2023-01-26,2024-12-04,5,1,2023,EPI3689921,falcon,Avian
EPI_ISL_19604219,A/peregrine falcon/California/23-004360-001/2023,H5N1,,2.3.4.4b,Falcon,Original,North America / United States / California,2023-01-24,2024-12-04,5,1,2023,EPI3689833,falcon,Avian
EPI_ISL_19604191,A/peregrine falcon/New York/23-003717-001/2023,H5N1,,2.3.4.4b,Falcon,Original,North America / United States / New York,2023-01-26,2024-12-04,5,1,2023,EPI3689609,falcon,Avian
EPI_ISL_19604188,A/peregrine falcon/Nevada/23-002599-001/2023,H5N1,,2.3.4.4b,Falcon,Original,North America / United States / Nevada,2023-01-10,2024-12-04,5,1,2023,EPI3689585,falcon,Avian
EPI_ISL_19064284,A/Canada goose/Louisiana/W23-902/2023,H5N1,,2.3.4.4b,Goose,Original,North America / United States / Louisiana,2023-11-21,2024-04-02,5,1,2023,EPI3222154,goose,Avian
EPI_ISL_19186486,A/glaucous gull/Alaska/23-025003-001/2023,H5N1,,2.3.4.4b,Gull,original,North America / United States / Arizona,2023-07-22,2024-06-07,5,1,2023,EPI3358351,gull,Avian
EPI_ISL_19604307,A/mute swan/Pennsylvania/23-001169-001/2023,H5N1,,2.3.4.4b,Swan,Original,North America / United States / Pennsylvania,2023-01-09,2024-12-04,5,1,2023,EPI3690537,swan,Avian
EPI_ISL_19604294,A/mute swan/Rhode Island/23-007092-001/2023,H5N1,,2.3.4.4b,Swan,Original,North America / United States / Rhode Island,2023-02-13,2024-12-04,5,1,2023,EPI3690433,swan,Avian
EPI_ISL_19064319,A/trumpeter swan/Kansas/W23-928/2023,H5N1,,2.3.4.4b,Swan,Original,North America / United States / Kansas,2023-12-03,2024-04-02,5,1,2023,EPI3222369,swan,Avian
EPI_ISL_19555246,A/Turkey/BC/FAV-0306-1/2024,H5N1,,2.3.4.4b,Turkey,OS,North America / Canada / British Columbia,2024-11-07,2024-11-20,5,1,2024,EPI3651294,turkey,Avian
EPI_ISL_19473400,A/turkey/USA/24-028305-001/2024,H5N1,,2.3.4.4b,Turkey,Original,North America / United States / Idaho,2024-09-24,2024-10-09,5,1,2024,EPI3599378,turkey,Avian
EPI_ISL_19260340,A/turkey/Minnesota/24-018647-002/2024,H5N1,,2.3.4.4b,Turkey,Original,North America / United States / Minnesota,2024-06-25,2024-07-08,5,1,2024,EPI3433923,turkey,Avian
EPI_ISL_19260317,A/turkey/Minnesota/24-018153-001/2024,H5N1,,2.3.4.4b,Turkey,Original,North America / United States / Minnesota,2024-06-20,2024-07-08,5,1,2024,EPI3433758,turkey,Avian
EPI_ISL_19227528,A/turkey/Michigan/24-011230-001/2024,H5N1,,2.3.4.4b,Turkey,Original,North America / United States / Michigan,2024-04-15,2024-05-06,5,1,2024,EPI3410612,turkey,Avian
EPI_ISL_19227509,A/turkey/Michigan/24-011958-001/2024,H5N1,,2.3.4.4b,Turkey,Original,North America / United States / Michigan,2024-04-22,2024-05-09,5,1,2024,EPI3410474,turkey,Avian
EPI_ISL_19227440,A/turkey/Michigan/24-012707-001/2024,H5N1,,2.3.4.4b,Turkey,Original,North America / United States / Michigan,2024-04-29,2024-05-15,5,1,2024,EPI3409967,turkey,Avian
EPI_ISL_19227404,A/turkey/Minnesota/24-014685-001/2024,H5N1,,2.3.4.4b,Turkey,Original,North America / United States / Minnesota,2024-05-15,2024-07-12,5,1,2024,EPI3442191,turkey,Avian
EPI_ISL_19227323,A/turkey/Minnesota/24-015549-001/2024,H5N1,,2.3.4.4b,Turkey,Original,North America / United States / Minnesota,2024-05-27,2024-06-12,5,1,2024,EPI3409117,turkey,Avian
EPI_ISL_19227302,A/turkey/Iowa/24-016003-001/2024,H5N1,,2.3.4.4b,Turkey,Original,North America / United States / Iowa,2024-06-02,2024-06-12,5,1,2024,EPI3408959,turkey,Avian
EPI_ISL_19227300,A/turkey/Minnesota/24-014974-001/2024,H5N1,,2.3.4.4b,Turkey,Original,North America / United States / Minnesota,2024-05-20,2024-06-12,5,1,2024,EPI3408943,turkey,Avian
EPI_ISL_19227289,A/turkey/Minnesota/24-014975-001/2024,H5N1,,2.3.4.4b,Turkey,Original,North America / United States / Minnesota,2024-05-17,2024-06-12,5,1,2024,EPI3408859,turkey,Avian
EPI_ISL_17424652,A/black vulture/Louisiana/W23-118/2023,H5N1,,2.3.4.4b,Other avian,,North America / United States / Louisiana,2023-02-07,2023-04-03,5,1,2023,EPI2507050,other_avian,Avian
EPI_ISL_19260117,A/Striped_Skunk/PEI/FAV-0130-1/2024,H5N5,,2.3.4.4b,mammals,Original,North America / Canada / Prince Edward Island / Mount Stewart,2024-04-09,2024-07-12,5,5,2024,EPI3433479,striped_skunk,Avian
EPI_ISL_19260116,A/Striped_Skunk/PEI/FAV-0111-1/2024,H5N5,,2.3.4.4b,mammals,Original,North America / Canada / Prince Edward Island / Stratford,2024-03-14,2024-07-12,5,5,2024,EPI3433471,striped_skunk,Avian
EPI_ISL_19260114,A/Raccoon/PEI/FAV-0108-1/2024,H5N5,,2.3.4.4b,mammals,egg-1ce3dpi,North America / Canada / Prince Edward Island / Stratford,2024-03-14,2024-07-12,5,5,2024,EPI3433455,raccoon,Avian
EPI_ISL_19260112,A/Raccoon/NS/FAV-0079-1/2024,H5N5,,2.3.4.4b,mammals,egg-1ce2dpi,North America / Canada / Nova Scotia / Kentville,2024-02-02,2024-07-12,5,5,2024,EPI3433439,raccoon,Avian
EPI_ISL_18702989,A/Red_Fox/NS/FAV-0265-1/2023,H5N5,,2.3.4.4b,mammals,egg-1ce2dpi,North America / Canada / Nova Scotia / Fergusons Cove,2023-05-09,2023-12-29,5,5,2023,EPI2876304,red_fox,Avian
EPI_ISL_18702966,A/Raccoon/PEI/FAV-0247-1/2023,H5N5,,2.3.4.4b,mammals,egg-1ce2dpi,North America / Canada / Prince Edward Island / Murray Harbour,2023-04-18,2023-12-29,5,5,2023,EPI2876120,raccoon,Avian
EPI_ISL_18702964,A/Red_Fox/NS/FAV-0241-1/2023,H5N5,,2.3.4.4b,mammals,egg-1ce2dpi,North America / Canada / Nova Scotia / Halifax,2023-05-23,2023-12-29,5,5,2023,EPI2876104,red_fox,Avian
EPI_ISL_18702961,A/Striped_Skunk/PEI/FAV-0210-1/2023,H5N5,,2.3.4.4b,mammals,Original,North America / Canada / Prince Edward Island / Sturgeon,2023-05-16,2023-12-29,5,5,2023,EPI2876080,striped_skunk,Avian
EPI_ISL_18702960,A/Raccoon/PEI/FAV-0199-1/2023,H5N5,,2.3.4.4b,mammals,Original,North America / Canada / Prince Edward Island / Sea View,2023-04-29,2023-12-29,5,5,2023,EPI2876072,raccoon,Avian
EPI_ISL_19227433,A/red fox/Michigan/24-013016-005/2024,H5N1,,2.3.4.4b,Canine,Original,North America / United States / Michigan,2024-04-24,2024-05-15,5,1,2024,EPI3409911,canine,Avian
EPI_ISL_19326261,A/cat/Colorado/24-020717-001/2024,H5N1,,2.3.4.4b,Feline,Original,North America / United States / Colorado,2024-07-12,2024-08-11,5,1,2024,EPI3494508,feline,Avian
EPI_ISL_19227506,A/cat/USA/24-012168-002/2024,H5N1,,2.3.4.4b,Feline,Original,North America / United States / Michigan,2024-04-19,2024-05-09,5,1,2024,EPI3410450,feline,Avian
EPI_ISL_19227454,A/cat/New Mexico/24-012046-001/2024,H5N1,,2.3.4.4b,Feline,Original,North America / United States / New Mexico,2024-04-17,2024-05-15,5,1,2024,EPI3410074,feline,Avian
EPI_ISL_19227432,A/cat/New Mexico/24-012046-003/2024,H5N1,,2.3.4.4b,Feline,Original,North America / United States / New Mexico,2024-04-17,2024-05-15,5,1,2024,EPI3409903,feline,Avian
EPI_ISL_19227430,A/cat/South Dakota/24-012039-001/2024,H5N1,,2.3.4.4b,Feline,Original,North America / United States / South Dakota,2024-04-19,2024-05-15,5,1,2024,EPI3409887,feline,Avian
EPI_ISL_19015125,A/goat/Minnesota/24-007234-009/2024,H5N1,,2.3.4.4b,Other mammals,Original,North America / United States / Minnesota,2024-03-08,2024-03-27,5,1,2024,EPI3162333,goat,Avian
EPI_ISL_19015124,A/goat/Minnesota/24-007234-006/2024,H5N1,,2.3.4.4b,Other mammals,Original,North America / United States / Minnesota,2024-03-08,2024-03-27,5,1,2024,EPI3162325,goat,Avian
EPI_ISL_19015123,A/goat/Minnesota/24-007234-003/2024,H5N1,,2.3.4.4b,Other mammals,Original,North America / United States / Minnesota,2024-03-08,2024-03-27,5,1,2024,EPI3162317,goat,Avian
EPI_ISL_19014400,A/skunk/New Mexico/24-006483-001/2024,H5N1,,2.3.4.4b,Other mammals,Original,North America / United States / New Mexico,2024-02-23,2024-03-27,5,1,2024,EPI3158803,skunk,Avian
EPI_ISL_17424646,A/striped skunk/Kansas/W23-094/2023,H5N1,,2.3.4.4b,Other mammals,,North America / United States / Kansas,2023-01-27,2023-04-03,5,1,2023,EPI2507003,striped_skunk,Avian
EPI_ISL_19497982,A/California/150/2024,H5N1,,2.3.4.4b,Human,OR_IR,North America / United States / California,2024-10-09,2024-10-22,5,1,2024,EPI3610176,human,Avian
EPI_ISL_19497980,A/California/153/2024,H5N1,,2.3.4.4b,Human,OR_IR,North America / United States / California,2024-10-09,2024-10-22,5,1,2024,EPI3610163,human,Avian
EPI_ISL_19481948,A/California/148/2024,H5N1,,2.3.4.4b,Human,Original,North America / United States / California,2024-10-08,2024-10-16,5,1,2024,EPI3602476,human,Avian
EPI_ISL_19481947,A/California/147/2024,H5N1,,2.3.4.4b,Human,Original,North America / United States / California,2024-10-07,2024-10-16,5,1,2024,EPI3602471,human,Avian
EPI_ISL_19604829,A/turkey vulture/California/23-021850-001/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / California,2023-07-14,2024-12-04,5,1,2023,EPI3694713,turkey_vulture,Avian
EPI_ISL_19604802,A/red tailed hawk/California/23-004363-001/2023,H5N1,,2.3.4.4b,Avian,Original,North America / United States / California,2023-01-25,2024-12-04,5,1,2023,EPI3694497,red_tailed_hawk,Avian
